Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Old Weston Road,East,A point 30.5 metres south of Davenport Road and a point 5.5 metres further south,Anytime,"{'dist1': '30.5', 'dir1': 'south', 'start_intersection': 'Davenport Road', 'dist2': '5.5', 'rule_type': 'relative_extension'}"
Old Weston Road,West,Davenport Road and Junction Road,Anytime,"{'start_intersection': 'Davenport Road', 'end_intersection': 'Junction Road', 'rule_type': 'block'}"
The Queensway,North,Wadsworth Crescent (east intersection) and Royal York Road,Anytime,"{'start_intersection': 'Wadsworth Crescent (east intersection)', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
The Queensway Ramp (westbbound),Both,The Queensway and South Kingsway,Anytime,"{'start_intersection': 'The Queensway', 'end_intersection': 'South Kingsway', 'rule_type': 'block'}"
Service Roads at the overpass over the Canadian Pacific Railway tracks on The Queensway west of Kipling Avenue,Both,Entire Length,Anytime,{'rule_type': 'entire_length'}
Lake Shore Boulevard West,North,Twenty Fourth Street and Twenty Sixth Street,Anytime,"{'start_intersection': 'Twenty Fourth Street', 'end_intersection': 'Twenty Sixth Street', 'rule_type': 'block'}"
Lawrence Avenue West,North,Avenue Road and a point 110 metres east,Anytime,"{'start_intersection': 'Avenue Road', 'distance': '110', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Lawrence Avenue West,South,Avenue Road and Chatsworth Drive,Anytime,"{'start_intersection': 'Avenue Road', 'end_intersection': 'Chatsworth Drive', 'rule_type': 'block'}"
Markham Road,West,A point 310 metres north of Nugget Avenue and Steeles Avenue East,Anytime,"{'distance': '310', 'direction': 'north', 'start_intersection': 'Nugget Avenue', 'end_intersection': 'Steeles Avenue East', 'rule_type': 'offset_to_intersect'}"
McCowan Road,Both,Danforth Road and Steeles Avenue East,Anytime,"{'start_intersection': 'Danforth Road', 'end_intersection': 'Steeles Avenue East', 'rule_type': 'block'}"
Meadowvale Road,East,Old Finch Avenue and Highway 401 westbound off-ramp,Anytime,"{'start_intersection': 'Old Finch Avenue', 'end_intersection': 'Highway 401 westbound off-ramp', 'rule_type': 'block'}"
Old Weston Road,East,Junction Road and Westport Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Junction Road', 'end_intersection': 'Westport Avenue', 'rule_type': 'block'}"
Old Weston Road,East,Rogers Road and Kane Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Rogers Road', 'end_intersection': 'Kane Avenue', 'rule_type': 'block'}"
Lawrence Avenue West,South,Bathurst Street and Englemount Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Bathurst Street', 'end_intersection': 'Englemount Avenue', 'rule_type': 'block'}"
Meadowvale Road,West,Old Finch Avenue and Highway 401 westbound on-ramp,Anytime,"{'start_intersection': 'Old Finch Avenue', 'end_intersection': 'Highway 401 westbound on-ramp', 'rule_type': 'block'}"
Millwood Road,North and East,Laird Drive and C.P.R. Subway,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Laird Drive', 'end_intersection': 'C.P.R. Subway', 'rule_type': 'block'}"
Millwood Road,Both,Overlea Boulevard and C.P.R. Subway,Anytime,"{'start_intersection': 'Overlea Boulevard', 'end_intersection': 'C.P.R. Subway', 'rule_type': 'block'}"
Old Weston Road,Both,St. Clair Avenue West and a point 55 metres south,Anytime,"{'start_intersection': 'St. Clair Avenue West', 'distance': '55', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Old Weston Road,East,A point 55 metres south of St. Clair Avenue West and Davenport Road,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'distance': '55', 'direction': 'south', 'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'Davenport Road', 'rule_type': 'offset_to_intersect'}"
Old Weston Road,West,A point 55 metres south of St. Clair Avenue West and Davenport Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '55', 'direction': 'south', 'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'Davenport Road', 'rule_type': 'offset_to_intersect'}"
The Queensway,North,A point 137 metres east of High Street and Stephen Drive,Anytime,"{'distance': '137', 'direction': 'east', 'start_intersection': 'High Street', 'end_intersection': 'Stephen Drive', 'rule_type': 'offset_to_intersect'}"
The Queensway,North,Islington Avenue and Parker Avenue,Anytime,"{'start_intersection': 'Islington Avenue', 'end_intersection': 'Parker Avenue', 'rule_type': 'block'}"
The Queensway,North,Islington Avenue and a point 45.5 metres east of Stock Avenue,Anytime,"{'start_intersection': 'Islington Avenue', 'distance': '45.5', 'direction': 'east', 'offset_intersection': 'Stock Avenue', 'rule_type': 'intersect_to_offset'}"
Lawrence Avenue West,North,Bathurst Street and Varna Drive,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Bathurst Street', 'end_intersection': 'Varna Drive', 'rule_type': 'block'}"
Lawrence Avenue East,Both,Bayview Avenue and Mildenhall Road,Anytime,"{'start_intersection': 'Bayview Avenue', 'end_intersection': 'Mildenhall Road', 'rule_type': 'block'}"
Millwood Road,South and west,A point 244 metres east of Southvale Drive and C.P.R. Subway,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'distance': '244', 'direction': 'east', 'start_intersection': 'Southvale Drive', 'end_intersection': 'C.P.R. Subway', 'rule_type': 'offset_to_intersect'}"
Millwood Road,South,Southvale Drive and a point 244 metres east,Anytime,"{'start_intersection': 'Southvale Drive', 'distance': '244', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Old Weston Road,East,A point 82 metres north of St. Clair Avenue West and a point 60 metres further north thereof,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'distance': '82', 'direction': 'north', 'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'a point 60 metres further north thereof', 'rule_type': 'offset_to_intersect'}"
Old Weston Road,West,A point 203 metres north of Townsley Street and Rogers Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '203', 'direction': 'north', 'start_intersection': 'Townsley Street', 'end_intersection': 'Rogers Road', 'rule_type': 'offset_to_intersect'}"
Lawrence Avenue West,North,A point 91.5 metres east of Caledonia Road and a point 102 metres further east,Anytime,"{'dist1': '91.5', 'dir1': 'east', 'start_intersection': 'Caledonia Road', 'dist2': '102', 'rule_type': 'relative_extension'}"
Lawrence Avenue West,South,Caledonia Road and a point 201 metres east,Anytime,"{'start_intersection': 'Caledonia Road', 'distance': '201', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Old Weston Road,East,A point 203 metres north of Townsley Street and a point 30.5 metres south of Kane Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'A point 203 metres north of Townsley Street', 'distance': '30.5', 'direction': 'south', 'offset_intersection': 'Kane Avenue', 'rule_type': 'intersect_to_offset'}"
Oriole Parkway,Both,Lonsdale Road and Kilbarry Road,Anytime,"{'start_intersection': 'Lonsdale Road', 'end_intersection': 'Kilbarry Road', 'rule_type': 'block'}"
Oriole Parkway,Both,Oxton Avenue and a point 30.5 metres north of Kilbarry Road,Anytime,"{'start_intersection': 'Oxton Avenue', 'distance': '30.5', 'direction': 'north', 'offset_intersection': 'Kilbarry Road', 'rule_type': 'intersect_to_offset'}"
Rogers Road,South,Keele Street and Old Weston Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Keele Street', 'end_intersection': 'Old Weston Road', 'rule_type': 'block'}"
Oxton Avenue,South,Oriole Parkway and a point 23 metres west,Anytime,"{'start_intersection': 'Oriole Parkway', 'distance': '23', 'direction': 'west', 'rule_type': 'perfect_offset'}"
The Queensway,North,McIntosh Avenue and Smithfield Drive,Anytime,"{'start_intersection': 'McIntosh Avenue', 'end_intersection': 'Smithfield Drive', 'rule_type': 'block'}"
Lawrence Avenue West,Both,Jane Street and Keele Street,Anytime,"{'start_intersection': 'Jane Street', 'end_intersection': 'Keele Street', 'rule_type': 'block'}"
Pape Avenue,East,Danforth Avenue and Lipton Avenue,"Anytime, except Sun. and public holidays","{'start_intersection': 'Danforth Avenue', 'end_intersection': 'Lipton Avenue', 'rule_type': 'block'}"
Pape Avenue,East,Gertrude Place and a point 27 metres south,"Anytime, except Sun. and public holidays","{'start_intersection': 'Gertrude Place', 'distance': '27', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Mount Pleasant Road,East,A point 36.5 metres north of Davisville Avenue and Millwood Road,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'distance': '36.5', 'direction': 'north', 'start_intersection': 'Davisville Avenue', 'end_intersection': 'Millwood Road', 'rule_type': 'offset_to_intersect'}"
Mount Pleasant Road,West,A point 67 metres north of Davisville Avenue and Millwood Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '67', 'direction': 'north', 'start_intersection': 'Davisville Avenue', 'end_intersection': 'Millwood Road', 'rule_type': 'offset_to_intersect'}"
Mount Pleasant Road,East,A point 36.5 metres north of Davisville Avenue and Moore Avenue,Anytime,"{'distance': '36.5', 'direction': 'north', 'start_intersection': 'Davisville Avenue', 'end_intersection': 'Moore Avenue', 'rule_type': 'offset_to_intersect'}"
Pape Avenue,East,Lipton Avenue and a point 50 metres north,Anytime,"{'start_intersection': 'Lipton Avenue', 'distance': '50', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Lawrence Avenue East,Both,Kingston Road and Bennett Road,Anytime,"{'start_intersection': 'Kingston Road', 'end_intersection': 'Bennett Road', 'rule_type': 'block'}"
Mount Pleasant Road,West,A point 67 metres north of Davisville Avenue and Moore Avenue,Anytime,"{'distance': '67', 'direction': 'north', 'start_intersection': 'Davisville Avenue', 'end_intersection': 'Moore Avenue', 'rule_type': 'offset_to_intersect'}"
Mount Pleasant Road,West,A point 102 metres south of Eglinton Avenue East and a point 42.5 metres further south,Anytime,"{'dist1': '102', 'dir1': 'south', 'start_intersection': 'Eglinton Avenue East', 'dist2': '42.5', 'rule_type': 'relative_extension'}"
Mount Pleasant Road,East,Eglinton Avenue East and a point 52 metres south,Anytime,"{'start_intersection': 'Eglinton Avenue East', 'distance': '52', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Pape Avenue,West,A point 180 metres north of O'Connor Drive and a point 205 metres north of O'Connor Drive,Anytime,"{'start_intersection': ""A point 180 metres north of O'Connor Drive"", 'distance': '205', 'direction': 'north', 'offset_intersection': ""O'Connor Drive"", 'rule_type': 'intersect_to_offset'}"
Pape Avenue,East,Torrens Avenue and Woodville Avenue,Anytime,"{'start_intersection': 'Torrens Avenue', 'end_intersection': 'Woodville Avenue', 'rule_type': 'block'}"
Parkside Drive,East,A point 54 metres south of Bloor Street West and Bloor Street West,Anytime,"{'distance': '54', 'direction': 'south', 'start_intersection': 'Bloor Street West', 'end_intersection': 'Bloor Street West', 'rule_type': 'offset_to_intersect'}"
The Queensway,South,A point 50.5 metres east of Rosemeade Avenue and a point 91.5 metres west of Smith Crescent,Anytime,"{'start_intersection': 'A point 50.5 metres east of Rosemeade Avenue', 'distance': '91.5', 'direction': 'west', 'offset_intersection': 'Smith Crescent', 'rule_type': 'intersect_to_offset'}"
The Queensway,South,Royal York Road and a point 34 metres west of Penhurst Avenue,Anytime,"{'start_intersection': 'Royal York Road', 'distance': '34', 'direction': 'west', 'offset_intersection': 'Penhurst Avenue', 'rule_type': 'intersect_to_offset'}"
The Queensway,North,Between Stock Avenue and the west limit of the City of Toronto,Anytime,"{'start_intersection': 'Between Stock Avenue', 'end_intersection': 'the west limit of the City of Toronto', 'rule_type': 'block'}"
Lawrence Avenue East,Both,Mildenhall Road and Wanless Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Mildenhall Road', 'end_intersection': 'Wanless Avenue', 'rule_type': 'block'}"
Lawrence Avenue West,North,Rosewell Avenue and Elm Road,Anytime,"{'start_intersection': 'Rosewell Avenue', 'end_intersection': 'Elm Road', 'rule_type': 'block'}"
Mount Pleasant Road,East,Eglinton Avenue East and Roehampton Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Eglinton Avenue East', 'end_intersection': 'Roehampton Avenue', 'rule_type': 'block'}"
Mount Pleasant Road,East,Lawrence Avenue East and a point 30.5 metres north of Roehampton Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Lawrence Avenue East', 'distance': '30.5', 'direction': 'north', 'offset_intersection': 'Roehampton Avenue', 'rule_type': 'intersect_to_offset'}"
Parkside Drive,East,A point 177 metres north of Lake Shore Boulevard West and a point 30.5 metres further north,Anytime,"{'dist1': '177', 'dir1': 'north', 'start_intersection': 'Lake Shore Boulevard West', 'dist2': '30.5', 'rule_type': 'relative_extension'}"
Lawrence Avenue West,Both,Scarlett Road and Weston Road,Anytime,"{'start_intersection': 'Scarlett Road', 'end_intersection': 'Weston Road', 'rule_type': 'block'}"
Mount Pleasant Road,West,Lawrence Avenue East and a point 30.5 metres north of Roehampton Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Lawrence Avenue East', 'distance': '30.5', 'direction': 'north', 'offset_intersection': 'Roehampton Avenue', 'rule_type': 'intersect_to_offset'}"
Mount Pleasant Road,West,Manor Road and a point 42.5 metres north,Anytime,"{'start_intersection': 'Manor Road', 'distance': '42.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Mount Pleasant Road,East,Manor Road and a point 42.5 metres south,Anytime,"{'start_intersection': 'Manor Road', 'distance': '42.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Parkwoods Village Drive,Both,Victoria Park Avenue and York Mills Road,Anytime,"{'start_intersection': 'Victoria Park Avenue', 'end_intersection': 'York Mills Road', 'rule_type': 'block'}"
Lawrence Avenue West,South,William R. Allen Road and Englemount Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'William R. Allen Road', 'end_intersection': 'Englemount Avenue', 'rule_type': 'block'}"
Mount Pleasant Road,Both,Roehampton Avenue and a point 30.5 metres north,Anytime,"{'start_intersection': 'Roehampton Avenue', 'distance': '30.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Mount Pleasant Road,West,Soudan Avenue and a point 53.5 metres north,Anytime,"{'start_intersection': 'Soudan Avenue', 'distance': '53.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Mount Pleasant Road,East,A point 38 metres north of Soudan Avenue and a point 50.5 metres south of Soudan Avenue,Anytime,"{'start_intersection': 'A point 38 metres north of Soudan Avenue', 'distance': '50.5', 'direction': 'south', 'offset_intersection': 'Soudan Avenue', 'rule_type': 'intersect_to_offset'}"
Port Union Road,East,Lawrence Avenue East and Clappison Boulevard,Anytime,"{'start_intersection': 'Lawrence Avenue East', 'end_intersection': 'Clappison Boulevard', 'rule_type': 'block'}"
Port Union Road,West,Lawrence Avenue East and Island Road,Anytime,"{'start_intersection': 'Lawrence Avenue East', 'end_intersection': 'Island Road', 'rule_type': 'block'}"
Queen Street East,North,Kingston Road and a point 165 metres west,Anytime,"{'start_intersection': 'Kingston Road', 'distance': '165', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Lake Shore Boulevard West,North,Dwight Avenue and a point 73 metres west,Anytime,"{'start_intersection': 'Dwight Avenue', 'distance': '73', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Lake Shore Boulevard West,North,Fourteenth Street and a point 46 metres east,Anytime,"{'start_intersection': 'Fourteenth Street', 'distance': '46', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Lake Shore Boulevard East,South,Eastbound lane at a point 54 metres east of Freeland Street and a point 29 metres further east,Anytime,"{'start_intersection': 'Eastbound lane at a point 54 metres east of Freeland Street', 'distance': '29', 'direction': 'east', 'rule_type': 'intersect_extension'}"
Jane Street,West,Bloor Street West and a point 76 metres north,Anytime,"{'start_intersection': 'Bloor Street West', 'distance': '76', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Jane Street,West,Foxwell Avenue and a point 61 metres south of Haney Avenue,Anytime,"{'start_intersection': 'Foxwell Avenue', 'distance': '61', 'direction': 'south', 'offset_intersection': 'Haney Avenue', 'rule_type': 'intersect_to_offset'}"
Jane Street,West,Foxwell Avenue and a point 30.5 metres north of Pritchard Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Foxwell Avenue', 'distance': '30.5', 'direction': 'north', 'offset_intersection': 'Pritchard Avenue', 'rule_type': 'intersect_to_offset'}"
Jane Street,East,Hanley Street and a point 49 metres south,Anytime,"{'start_intersection': 'Hanley Street', 'distance': '49', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Eglinton Avenue West,North,A point 213.5 metres east of Caledonia Road and a point opposite Kirknewton Road,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'distance': '213.5', 'direction': 'east', 'start_intersection': 'Caledonia Road', 'end_intersection': 'a point opposite Kirknewton Road', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,South,Caledonia Road and a point 39.6 metres east of Nairn Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Caledonia Road', 'distance': '39.6', 'direction': 'east', 'offset_intersection': 'Nairn Avenue', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,North,Oriole Parkway and a point 22 metres west of Edith Drive,Anytime,"{'start_intersection': 'Oriole Parkway', 'distance': '22', 'direction': 'west', 'offset_intersection': 'Edith Drive', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,North,Pearen Street and a point 183 metres west,"7:00 a.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Pearen Street', 'distance': '183', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Eglinton Avenue East,North,A point 62 metres east of Rawlinson Avenue and a point 11 metres further east,Anytime,"{'dist1': '62', 'dir1': 'east', 'start_intersection': 'Rawlinson Avenue', 'dist2': '11', 'rule_type': 'relative_extension'}"
Kingston Road,North,Beech Avenue and Hannaford Street,Anytime,"{'start_intersection': 'Beech Avenue', 'end_intersection': 'Hannaford Street', 'rule_type': 'block'}"
Lake Shore Boulevard West,North,Brow Drive and a point 91.5 metres east,Anytime,"{'start_intersection': 'Brow Drive', 'distance': '91.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Eglinton Avenue West,North,Caledonia Road and Sanderstead Avenue,Anytime,"{'start_intersection': 'Caledonia Road', 'end_intersection': 'Sanderstead Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,North,C.N.R. crossing first to the east of Weston Road and Pearen Street,Anytime,"{'start_intersection': 'C.N.R. crossing first to the east of Weston Road', 'end_intersection': 'Pearen Street', 'rule_type': 'block'}"
Eglinton Avenue West,North,A point 30.5 metres east of Richardson Avenue and Sanderstead Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'distance': '30.5', 'direction': 'east', 'start_intersection': 'Richardson Avenue', 'end_intersection': 'Sanderstead Avenue', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,South,Rostrevor Road and a point approximately 40 metres east of Rostrevor Road,7:00 a.m. to 7:00 p.m.,"{'start_intersection': 'Rostrevor Road', 'distance': '40', 'direction': 'east', 'offset_intersection': 'Rostrevor Road', 'rule_type': 'intersect_to_offset'}"
Kingston Road,South,Birchcliffe Avenue and a point 70 metres east,Anytime,"{'start_intersection': 'Birchcliffe Avenue', 'distance': '70', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Kingston Road,South,Birchmount Road and Cliffside Drive,Anytime,"{'start_intersection': 'Birchmount Road', 'end_intersection': 'Cliffside Drive', 'rule_type': 'block'}"
Kingston Road,South,Blantyre Avenue and a point 38.5 metres west,Anytime,"{'start_intersection': 'Blantyre Avenue', 'distance': '38.5', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Jane Street,East,Hanley Street and St. Clair Avenue West,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Hanley Street', 'end_intersection': 'St. Clair Avenue West', 'rule_type': 'block'}"
Jane Street,West,Lambton Avenue and Emmett Avenue,Anytime,"{'start_intersection': 'Lambton Avenue', 'end_intersection': 'Emmett Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,South,Spadina Road and Old Forest Hill Road,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Spadina Road', 'end_intersection': 'Old Forest Hill Road', 'rule_type': 'block'}"
Eglinton Avenue West,South,Strathearn Road and Flanders Road,7:00 a.m. to 7:00 p.m.,"{'start_intersection': 'Strathearn Road', 'end_intersection': 'Flanders Road', 'rule_type': 'block'}"
Kingston Road,South,Brimley Road and Brooklawn Avenue,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Brimley Road', 'end_intersection': 'Brooklawn Avenue', 'rule_type': 'block'}"
Kingston Road,South,A point 79 metres east of Chine Drive and Cliffside Drive,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'distance': '79', 'direction': 'east', 'start_intersection': 'Chine Drive', 'end_intersection': 'Cliffside Drive', 'rule_type': 'offset_to_intersect'}"
Jane Street,West,Weston Road and MacDonald Avenue,Anytime,"{'start_intersection': 'Weston Road', 'end_intersection': 'MacDonald Avenue', 'rule_type': 'block'}"
Jane Street,West,Methuen Avenue and a point 41.5 metres south,Anytime,"{'start_intersection': 'Methuen Avenue', 'distance': '41.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Jane Street,East,Pritchard Avenue and a point 30.5 metres south of Woolner Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'Pritchard Avenue', 'distance': '30.5', 'direction': 'south', 'offset_intersection': 'Woolner Avenue', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,South,A point 110.3 metres east of Dufferin Street and a point 12 metres further east,Anytime,"{'dist1': '110.3', 'dir1': 'east', 'start_intersection': 'Dufferin Street', 'dist2': '12', 'rule_type': 'relative_extension'}"
Eglinton Avenue West,North,Vesta Drive and a point 43 metres east,Anytime,"{'start_intersection': 'Vesta Drive', 'distance': '43', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Eglinton Avenue West,North,A point 67 metres east of Vesta Drive and a point 30.5 metres west of the Belt Line Bridge (just east of Spadina Road),Anytime,"{'start_intersection': 'A point 67 metres east of Vesta Drive', 'distance': '30.5', 'direction': 'west', 'offset_intersection': 'the Belt Line Bridge (just east of Spadina Road)', 'rule_type': 'intersect_to_offset'}"
Kingston Road,North,Danforth Avenue and Birchmount Road,Anytime,"{'start_intersection': 'Danforth Avenue', 'end_intersection': 'Birchmount Road', 'rule_type': 'block'}"
Kingston Road,North,Fairwood Crescent and West Hill Drive,Anytime,"{'start_intersection': 'Fairwood Crescent', 'end_intersection': 'West Hill Drive', 'rule_type': 'block'}"
Jane Street,East,St. Clair Avenue West and Pritchard Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'St. Clair Avenue West', 'end_intersection': 'Pritchard Avenue', 'rule_type': 'block'}"
Jane Street,East,Steeles Avenue West and Lambton Avenue,Anytime,"{'start_intersection': 'Steeles Avenue West', 'end_intersection': 'Lambton Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,North,A point 305 metres east of Dufferin Street and a point 30.5 metres west of Alameda Avenue,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'A point 305 metres east of Dufferin Street', 'distance': '30.5', 'direction': 'west', 'offset_intersection': 'Alameda Avenue', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue West,North,A point 30.5 metres west of Dufferin Street and a point opposite Dynevor Road,Anytime,"{'distance': '30.5', 'direction': 'west', 'start_intersection': 'Dufferin Street', 'end_intersection': 'a point opposite Dynevor Road', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,South,A point 30.5 metres west of Dufferin Street and Kirknewton Road,Anytime,"{'distance': '30.5', 'direction': 'west', 'start_intersection': 'Dufferin Street', 'end_intersection': 'Kirknewton Road', 'rule_type': 'offset_to_intersect'}"
Eglinton Avenue West,North,A point 43 metres east of Vesta Drive and a point 24 metres east,"12:00 a.m. to 9:00 a.m., 9:15 a.m. to 11:15 a.m., 11:30 a.m. to 1:00 p.m., 1:15 p.m. to 3:00 p.m., 3:30 p.m. to 11:59 p.m., Mon. to Fri.; Anytime, Sat. and Sun.","{'start_intersection': 'A point 43 metres east of Vesta Drive', 'distance': '24', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Eglinton Avenue West,North,Vesta Drive and Old Forest Hill Road,Anytime,"{'start_intersection': 'Vesta Drive', 'end_intersection': 'Old Forest Hill Road', 'rule_type': 'block'}"
Jane Street,West,Steeles Avenue West and Patika Avenue,Anytime,"{'start_intersection': 'Steeles Avenue West', 'end_intersection': 'Patika Avenue', 'rule_type': 'block'}"
Service Road at the overpass on the east side of Jane Street south of Trethewey Drive,Both,Jane Street and the southerly limit of the Service Road,Anytime,"{'start_intersection': 'Jane Street', 'end_intersection': 'the southerly limit of the Service Road', 'rule_type': 'block'}"
Lower Jarvis Street,East,A point 51 metres south of The Esplanade and a point 12 metres further south,Anytime,"{'dist1': '51', 'dir1': 'south', 'start_intersection': 'The Esplanade', 'dist2': '12', 'rule_type': 'relative_extension'}"
Eglinton Avenue West,South,A point 305 metres east of Dufferin Street and a point 105 metres west of Northcliffe Boulevard,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays","{'start_intersection': 'A point 305 metres east of Dufferin Street', 'distance': '105', 'direction': 'west', 'offset_intersection': 'Northcliffe Boulevard', 'rule_type': 'intersect_to_offset'}"
Eglinton Avenue East,South,Dunfield Avenue and Maxwell Avenue,Anytime,"{'start_intersection': 'Dunfield Avenue', 'end_intersection': 'Maxwell Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,South,Winona Drive and Winnett Avenue,Anytime,"{'start_intersection': 'Winona Drive', 'end_intersection': 'Winnett Avenue', 'rule_type': 'block'}"
Eglinton Square,Both,Eglinton Avenue East and Victoria Park Avenue,Anytime,"{'start_intersection': 'Eglinton Avenue East', 'end_intersection': 'Victoria Park Avenue', 'rule_type': 'block'}"
Kingston Road,North,Highview Avenue and Sharpe Street,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays","{'start_intersection': 'Highview Avenue', 'end_intersection': 'Sharpe Street', 'rule_type': 'block'}"
Jarvis Street,West,A point 9 metres south of Sirman Lane and a point 9 metres north of Sirman Lane,Anytime,"{'start_intersection': 'A point 9 metres south of Sirman Lane', 'distance': '9', 'direction': 'north', 'offset_intersection': 'Sirman Lane', 'rule_type': 'intersect_to_offset'}"
Jonesville Crescent,Both,Eglinton Avenue East and Victoria Park Avenue,Anytime,"{'start_intersection': 'Eglinton Avenue East', 'end_intersection': 'Victoria Park Avenue', 'rule_type': 'block'}"
Eglinton Avenue West,North,Duplex Avenue and Henning Avenue,8:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Duplex Avenue', 'end_intersection': 'Henning Avenue', 'rule_type': 'block'}"
Eglinton Avenue,Both,The Etobicoke Creek and Inverdon Road,Anytime,"{'start_intersection': 'The Etobicoke Creek', 'end_intersection': 'Inverdon Road', 'rule_type': 'block'}"
